Unnamed: 0,Article URL,Claim,Rating,Image URL,Image_Path
1.0,https://www.politifact.com/factchecks/2025/feb/28/joel-kitchens/do-90-of-wisconsin-school-districts-ban-cellphones/,“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,TRUE,https://static.politifact.com/CACHE/images/politifact/photos/Classroom_Photo/83d7c6a60478c778b66dfdf79f4f0439.jpg,/opt/airflow/data/raw/images/2888e485dbbfb45b3a2bd774e3fd1996.jpg
2.0,https://www.politifact.com/factchecks/2025/feb/19/susan-crawford/candidate-right-that-wisconsin-does-not-require-ju/,Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer.”,TRUE,https://static.politifact.com/CACHE/images/politifact/photos/Supreme_Court/2bf6d13beda605271817bb2377181a97.JPG,/opt/airflow/data/raw/images/10e3ce6da4350053ef87727171b6d8f9.JPG
3.0,https://www.politifact.com/factchecks/2025/jan/28/common-cause/yes-wisconsin-makes-it-harder-to-vote-than-most-ot/,Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,TRUE,https://static.politifact.com/CACHE/images/politifact/photos/wisconsinvoters/b97c5b8dd3aa6fb5435f0a702df9a573.jpeg,/opt/airflow/data/raw/images/a4f2abb5f5accc5eb2423886fd2b6bfe.jpeg
4.0,https://www.politifact.com/factchecks/2025/jan/23/robin-vos/wisconsin-republicans-say-voter-id-laws-are-suppor/,"Voter ID ""is supported, if you look at any poll, by 70 to 80% of the public.""",TRUE,https://static.politifact.com/CACHE/images/politifact/photos/Voter_ID_sign_on_Super_Tuesday_in_North_Carolina_March_5_2024/c4789b8e3363151ca96733123753df69.jpg,/opt/airflow/data/raw/images/51bcc567352c682d5d489bb33bce77f7.jpg
5.0,https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,TRUE,https://static.politifact.com/CACHE/images/politifact/photos/johnson_news_conference_12_17_2024/834aa76356bfa56b8d08326a000c2f39.jpg,/opt/airflow/data/raw/images/8bdbf7d0b6971e89a33c6494586a7eec.jpg
6.0,https://www.politifact.com/factchecks/2024/dec/12/jay-rothman/would-the-uw-systems-855-million-budget-request-br/,"“The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The $855 million (budget request) gets us up to average.”",TRUE,https://static.politifact.com/CACHE/images/politifact/photos/univ_wisconsin_graduation_12_12_2024/2b3a10c71bfdd0df68095e21cead99a5.jpg,/opt/airflow/data/raw/images/b65bf06c192b2a294f824ffeedf122f4.jpg
7.0,https://www.politifact.com/factchecks/2024/oct/24/kamala-harris/kamala-harris-correct-that-immigration-at-the-us-s/,"""As of today, we have cut the flow of immigration by over half.""",TRUE,https://static.politifact.com/CACHE/images/politifact/photos/AP24298062712940/2ef0f070fa42c7047fdfbc8983fa508a.jpg,/opt/airflow/data/raw/images/07e405cce717bf52fe06ab76e62481fc.jpg
8.0,https://www.politifact.com/factchecks/2024/oct/03/social-media/would-project-2025-cut-fema-proposals-would-reduce/,Project 2025 would “cut” the Federal Emergency Management Agency and “kill federal-backed flood insurance.”,TRUE,https://static.politifact.com/CACHE/images/politifact/photos/Building_damage_in_North_Carolina_from_Hurricane_Helene_10-01-2024/3e5681194e5439aaf6e4e9895d1ec88e.jpeg,/opt/airflow/data/raw/images/db564bd230727a44c562529c16f40268.jpeg
10.0,https://www.politifact.com/factchecks/2024/sep/16/robert-cowles/gop-senator-is-correct-wisconsins-tourism-budget-i/,“The most recent State Budget increased funding for the Department of Tourism by 98 percent.”,TRUE,https://static.politifact.com/CACHE/images/politifact/photos/Wis._Capitol/a73c225a372b7ca8c48559e3ad0762ca.jpg,/opt/airflow/data/raw/images/eae8e9ac939732b6cedc299bd771e567.jpg
11.0,https://www.politifact.com/factchecks/2024/aug/30/elizabeth-warren/jd-vance-joined-republican-letter-urging-doj-to-en/,"“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”",TRUE,https://static.politifact.com/CACHE/images/politifact/photos/elizabeth_warren_dnc_adkjusted_8_30_2024/115fd94b8d650c048ae057dcde35ecd2.jpg,/opt/airflow/data/raw/images/28ca4a7409f4872cc63d539775ba115e.jpg
